,precision,recall,f1-score,support
Grade_I,0.957983193277311,0.7972027972027972,0.8702290076335878,143.0
Grade_II,0.8533834586466166,0.8764478764478765,0.864761904761905,259.0
Grade_III,0.7903225806451613,0.7480916030534351,0.7686274509803923,131.0
Normal,0.7651515151515151,0.9351851851851852,0.8416666666666667,108.0
accuracy,0.8424336973478939,0.8424336973478939,0.8424336973478939,0.8424336973478939
macro avg,0.841710186930151,0.8392318654723235,0.836321257510638,641.0
weighted avg,0.8489649518393275,0.8424336973478939,0.8424434906448797,641.0
